"Industry";"2020_freshers_join_estimated";"2021_freshers_join_estimated";"2022_freshers_join_estimated";"2023_freshers_join_estimated";"2024_freshers_join_estimated";"2020_Attrition_Rate";"2021_Attrition_Rate";"2022_Attrition_Rate";"2023_Attrition_Rate";"2024_Attrition_Rate";"2020_Reason_for_Leaving";"2021_Reason_for_Leaving";"2022_Reason_for_Leaving";"2023_Reason_for_Leaving";"2024__Reason_for_Leaving"
"Education and E-learning";40000;60000;80000;100000;130000;0.1;0.12;0.15;0.18;0.22;"Job insecurity,burnout,temporary roles,rapid industry shift due to pendamic";"High compitition,monotonous tasks,limited career growth,burnout";"Slow career progression,shift to higher-paying roles in tech,intense work pressure";"Compititive environment,burnout,transition to higher-paying and tech roles";"Job dissatisfaction,lack of career growth,work-life balance issues,pressure to innovate"
"Aerospace and Defense";8000;12000;15000;20000;30000;0.7;0.1;0.12;0.15;0.18;"Pandemic related delays,mismatch of technical skills,seeking more stable opportunities";"High technical demands,shift to IT/automotive industries,work-life balance issues";"Stressful work conditions,lack of career growth ,transition emerging tech sectors";"Career advancement issues,better compensation in tech,transition to AI/ML fields";"Work-life balance concerns,stress, better oppertunities in tech industries"
"Media and Entertainment";25000;35000;45000;55000;80000;0.6;0.8;0.11;0.15;0.18;"Pandemic-related uncertainty ,better opportunities in other industries";"High compititions,burnout,limited career growth";"Work pressure,lack of growth,transition to better-paid sectors";"Intense compititions,dissatisfaction with job roles,search for stability";"Career growth issues,work-life balance challenges,higher-paying opportunities in tech or corporate"
"Transportation and Logistics";20000;30000;40000;50000;65000;0.6;0.8;0.1;0.12;0.15;"Pandemic-induced instability,transition to other sectors like IT or e-commerce";"Work-life balance ,physical demands in logistics,higher-paying roles in IT or  e-commerce";"High work intensity,long hours,physical labor demands in warehouses,job instability";"Transition to digital roles,work stres,lack of career growth in traditional logistics";"Job instability in traditional logistics,lack of digital skills,better opportunities in tech and e-commerce"
"Metals and Mining";12000;15000;20000;25000;30000;0.7;0.1;0.12;0.15;0.18;"Health concerns,job insecurity due to pandemic,transition to IT/e-commerce";"High physical demands,better opportunities in IT/renewable energy";"Work-life balance issues,career stagnation in traditional mining roles,safety concerns";"Burnout,limited career growth,shift to tech-focused roles";"Automation,limited career progression,better opportunities in tech and sustainability"
"Chemicals and Petrochemicals";8000;12000;15000;20000;25000;0.6;0.8;0.1;0.12;0.16;"Job insecurity due to pandemic,transition to IT/e-commerce,lack of career growth";"Work-life balance,safety concerns in plant jobs,better opportuninities in IT/renewable energy";"Desire for more innovative roles,limited career growth,competition from tech sectors";"Automation-driven attition,lack of digitl skills,stress from physical labor";"Transition to tech roles,better compensation,work-life balance,career growth  in IT/renewable energy"
"Environmental Services";5000;8000;10000;12000;17000;0.7;0.1;0.12;0.15;0.18;"Job insecurity ,health concerns,transition to IT/e-commerce";"Physical labour-intensive roles ,low pay,better opportunities in tech sectors";"Shift to tech-focused industries,limited growth opportunities";"Digital roles in sustainability,limited career advancement,better pay in other sector";"Compititive salaries,remote work ,career growth in IT/tech industries"
"Biotechnology";6000;8000;10000;12000;15000;0.5;0.7;0.1;0.12;0.15;"Job uncertainty,high-pressure roles,transition to IT or healthcare sectors";"Competitive salaries in pharma ,demand fo jobs in IT/data science";"High-pressure research roles,shift to bioinformatics,healthcare ,or IT";"Transition to tech-driven roles,lack of career advancement,higher pay in IT";"Work-life balance concerns,transition to emerging tech sectors,higher pay in IT/healthcare"
"FMCG(Fast-Moving Consumer Goods)";15000;20000;25000;30000;35000;0.9;0.12;0.15;0.18;0.2;"Pandemic-related job insecurity,shift to digital marketing,tech,and e-commerce";"Work-life balanace concerns,tech ,and healthcare";"Transition to technology ,AI,digital transformation roles,limited growth in traditional FMCG";"Shift to startups,tech-driven companies ,e-commerce,international roles";"Higher salary prospects in tech,startups,digital roles ,and greater career growth opportunities"
"Startup and Innovation Ecosystem";10000;15000;18000;22000;30000;0.12;0.15;0.18;0.2;0.22;"Job instability,high-pressure environment,better stability in larger companies";"Work-life balance concerns,high-pressure roles,higher salary offers from established companies";"Burnout ,better salary and growth in tech/finance roles,limited career growth";"Work-life balance concerns,competition from larger tech companies , burnout";"Seeking stability,structured career paths in established companies,better pay"
